chr	start	stop
NR0B2	chr1	26911489	26913975
FCN3	chr1	27369110	27374824
WASF2	chr1	27404230	27490167
IFI6	chr1	27666064	27672198
STX12	chr1	27773219	27824443
DNAJC8	chr1	28199456	28233029
PHACTR4	chr1	28369582	28500364
TRNAU1AP	chr1	28553085	28578545
TAF12	chr1	28589323	28643085
YTHDF2	chr1	28736621	28769775
SRSF4	chr1	29147743	29181900
LAPTM5	chr1	30732469	30757774
PUM1	chr1	30931506	31065991
SERINC2	chr1	31409565	31434680
TINAGL1	chr1	31576485	31587686
PEF1	chr1	31629866	31644896
PTP4A2	chr1	31906421	31944856
KHDRBS1	chr1	32013868	32060850
KPNA6	chr1	32108056	32176563
EIF3I	chr1	32221928	32231604
FAM167B	chr1	32247222	32248856
HDAC1	chr1	32292083	32333635
MARCKSL1	chr1	32333839	32336233
BSDC1	chr1	32364633	32394731
ZBTB8OS	chr1	32600172	32650903
RBBP4	chr1	32651142	32686211
SYNC	chr1	32679906	32703596
AK2	chr1	33007940	33080996
PHC2	chr1	33323623	33431052
SMIM12	chr1	34712737	34859755
GJA4	chr1	34792999	34795747
SFPQ	chr1	35176378	35193145
KIAA0319L	chr1	35433492	35557950
PSMB2	chr1	35599541	35641526
AGO3	chr1	35930718	36072500
TRAPPC3	chr1	36136570	36156053
MAP7D1	chr1	36155579	36180849
THRAP3	chr1	36224432	36305357
EVA1B	chr1	36322031	36324154
LSM10	chr1	36391238	36397908
MRPS15	chr1	36455718	36464384
ZC3H12A	chr1	37474580	37484377
MEAF6	chr1	37489993	37514766
GNL2	chr1	37566816	37595937
C1orf122	chr1	37806979	37809454
AKIRIN1	chr1	38991276	39006059
NDUFS5	chr1	39026318	39034636
MACF1	chr1	39081316	39487177
PABPC4	chr1	39560816	39576790
PPIE	chr1	39692182	39763914
CAP1	chr1	40040233	40072649
ZMPSTE24	chr1	40258041	40294180
SMAP2	chr1	40344850	40423326
NFYC	chr1	40691648	40771603
PPCS	chr1	42456117	42473385
YBX1	chr1	42682418	42703805
EBNA1BP2	chr1	43164175	43270936
TIE1	chr1	43300982	43323108
ELOVL1	chr1	43363398	43368074
MED8	chr1	43383917	43389808
HYI	chr1	43451003	43453989
PTPRF	chr1	43525187	43623666
ATP6V0B	chr1	43974487	43978295
DMAP1	chr1	44213455	44220681
ERI3	chr1	44221070	44355260
RNF220	chr1	44405194	44651724
TMEM53	chr1	44635238	44674481
RPS8	chr1	44775251	44778779
PLK3	chr1	44800377	44805990
UROD	chr1	45010950	45015575
PRDX1	chr1	45511036	45523047
AKR1A1	chr1	45550543	45570049
NASP	chr1	45583846	45618904
GPBP1L1	chr1	45627304	45688113
PIK3R3	chr1	46040140	46133036
POMGNT1	chr1	46188682	46220305
LRRC41	chr1	46261196	46303608
UQCRH	chr1	46303698	46316776
ATPAF1	chr1	46632737	46673867
EFCAB14	chr1	46674659	46719146
CYP4A11	chr1	46929177	46941484
CYP4A22	chr1	47137435	47149735
CMPK1	chr1	47333797	47378839
RNF11	chr1	51236273	51273447
EPS15	chr1	51354263	51519266
OSBPL9	chr1	51577179	51798427
TXNDC12	chr1	52020131	52055191
BTF3L4	chr1	52056199	52090716
ZYG11B	chr1	52726453	52827336
ECHDC2	chr1	52895910	52927212
SCP2	chr1	52927276	53051698
MAGOH	chr1	53226900	53238518
DIO1	chr1	53891239	53911086
HSPB11	chr1	53916574	53945929
TMEM59	chr1	54026681	54053504
MRPL37	chr1	54184041	54225464
SSBP3	chr1	54225432	54413479
DHCR24	chr1	54849627	54887195
C8A	chr1	56854797	56918223
C8B	chr1	56929207	56966140
JUN	chr1	58780791	58784047
FGGY	chr1	59296638	59810647
NFIA	chr1	60865259	61462788
TM2D1	chr1	61681046	61725423
ANGPTL3	chr1	62597520	62606313
PGM1	chr1	63593411	63660245
JAK1	chr1	64833229	65067754
AK4	chr1	65147549	65232145
LEPROT	chr1	65420587	65436007
LEPR	chr1	65420652	65641559
PDE4B	chr1	65792514	66374579
MIER1	chr1	66924895	66988619
SERBP1	chr1	67407810	67430415
GADD45A	chr1	67685201	67688334
GNG12	chr1	67701475	67833467
SRSF11	chr1	70205682	70253052
ZRANB2	chr1	71063291	71081289
CRYZ	chr1	74705482	74733408
TYW3	chr1	74733152	74766678
ACADM	chr1	75724347	75787575
RABGGTB	chr1	75786197	75795086
FUBP1	chr1	77944055	77979110
DNAJB4	chr1	77979175	78017964
IFI44L	chr1	78619922	78646145
IFI44	chr1	78649796	78664078
RPF1	chr1	84479259	84498352
GNG5	chr1	84498325	84506581
C1orf52	chr1	85249953	85259672
DDAH1	chr1	85318481	85578363
ODF2L	chr1	86346824	86396342
SH3GLB1	chr1	86704570	86748184
LMO4	chr1	87328880	87348923
PKN2	chr1	88684222	88836255
GBP1	chr1	89052319	89065230
GBP2	chr1	89106132	89150456
GBP4	chr1	89181144	89198942
ZNF326	chr1	89995110	90035533
ZNF644	chr1	90915298	91022272
TGFBR3	chr1	91680343	91906335
EVI5	chr1	92508696	92792404
RPL5	chr1	92832013	92841924
MTF2	chr1	93079235	93139079
DR1	chr1	93345907	93369493
FNBP1L	chr1	93448131	93554661
DNTTIP2	chr1	93866284	93879918
GCLM	chr1	93885199	93909456
ARHGAP29	chr1	94148988	94275068
ABCD3	chr1	94418389	94518666
CNN3	chr1	94896949	94927223
DPYD	chr1	97077743	97995000
PALMD	chr1	99646113	99694541
VCAM1	chr1	100719742	100739045
SLC30A7	chr1	100896076	100981757
S1PR1	chr1	101236865	101243713
PRPF38B	chr1	108692310	108702928
TMEM167B	chr1	109090764	109096934
SORT1	chr1	109309568	109397918
PSMA5	chr1	109399042	109426448
GNAI3	chr1	109548615	109600195
GSTM3	chr1	109733932	109741038
AHCYL1	chr1	109984765	110023742
LAMTOR5	chr1	110401249	110407942
CD53	chr1	110871188	110899922
DRAM2	chr1	111117333	111140216
RAP1A	chr1	111542218	111716691
CTTNBP2NL	chr1	112396214	112463456
CAPZA1	chr1	112619805	112671616
RHOC	chr1	112701127	112707434
RSBN1	chr1	113761832	113812476
HIPK1	chr1	113929324	113977869
TRIM33	chr1	114392790	114511203
BCAS2	chr1	114567557	114581629
NRAS	chr1	114704469	114716771
CSDE1	chr1	114716913	114758676
SIKE1	chr1	114769479	114780685
ATP1A1	chr1	116372668	116410261
MAN1A2	chr1	117367449	117528872
HMGCS2	chr1	119748002	119768905
PDZK1	chr1	145670852	145708148
RNF115	chr1	145738868	145824095
RBM8A	chr1	145917714	145927678
LIX1L	chr1	145933423	145958017
POLR3GL	chr1	145964690	145978848
TXNIP	chr1	145992435	145996579
PRKAB2	chr1	147155106	147172550
FMO5	chr1	147175351	147243050
CHD1L	chr1	147242654	147295765
GJA5	chr1	147756199	147773362
PDE4DIP	chr1	148808181	149048286
BOLA1	chr1	149887890	149900798
SF3B4	chr1	149923317	149927803
OTUD7B	chr1	149937812	150010726
ANP32E	chr1	150218417	150236156
APH1A	chr1	150265399	150269580
C1orf54	chr1	150268200	150280916
MRPS21	chr1	150293861	150308979
RPRD2	chr1	150363091	150476566
MCL1	chr1	150574551	150579738
ENSA	chr1	150600851	150629612
CTSS	chr1	150730188	150765792
ARNT	chr1	150809713	150876708
CERS2	chr1	150960583	150975003
ANXA9	chr1	150982249	150995634
CDC42SE1	chr1	151050971	151070325
VPS72	chr1	151176304	151195321
PSMD4	chr1	151254709	151267479
PI4KB	chr1	151291797	151327715
SELENBP1	chr1	151364304	151372707
PSMB4	chr1	151399560	151401937
POGZ	chr1	151402724	151459494
MRPL9	chr1	151759647	151763496
RORC	chr1	151806071	151831845
THEM4	chr1	151870866	151909637
S100A10	chr1	151982915	151993859
S100A11	chr1	152032506	152047907
S100A6	chr1	153534599	153536244
S100A4	chr1	153543613	153550136
S100A16	chr1	153606886	153613145
S100A14	chr1	153614255	153616986
S100A13	chr1	153618787	153631360
CHTOP	chr1	153633982	153646306
SNAPIN	chr1	153658703	153661852
ILF2	chr1	153661788	153671028
SLC27A3	chr1	153774354	153780157
GATAD2B	chr1	153789030	153923360
SLC39A1	chr1	153959099	153968184
JTB	chr1	153974269	153977674
RAB13	chr1	153981617	153986358
RPS27	chr1	153990762	153992155
TPM3	chr1	154155304	154194648
C1orf43	chr1	154206696	154220637
UBAP2L	chr1	154220179	154271510
HAX1	chr1	154272589	154275875
IL6R	chr1	154405193	154469450
UBE2Q1	chr1	154548577	154559028
ADAR	chr1	154582057	154628013
KCNN3	chr1	154697455	154870281
PMVK	chr1	154924740	154936719
PBXIP1	chr1	154944076	154956123
SHC1	chr1	154962298	154974395
CKS1B	chr1	154974653	154979251
FLAD1	chr1	154983338	154993111
ADAM15	chr1	155050566	155062775
EFNA1	chr1	155127876	155134899
SLC50A1	chr1	155135344	155138857
DPM3	chr1	155139891	155140595
KRTCAP2	chr1	155169408	155173475
MTX1	chr1	155208699	155213824
GBA	chr1	155234452	155244699
SCAMP3	chr1	155255979	155262430
FDPS	chr1	155308748	155320666
ASH1L	chr1	155335268	155562807
YY1AP1	chr1	155659443	155689000
DAP3	chr1	155687960	155739010
GON4L	chr1	155749662	155859400
SSR2	chr1	156009048	156020951
LAMTOR2	chr1	156054782	156058506
LMNA	chr1	156082573	156140089
SLC25A44	chr1	156193932	156212796
PMF1	chr1	156212993	156240042
CCT3	chr1	156308968	156367873
MEF2D	chr1	156463727	156500779
GPATCH4	chr1	156594301	156601496
NES	chr1	156668763	156677407
ISG20L2	chr1	156721891	156728766
MRPL24	chr1	156737303	156741590
HDGF	chr1	156742109	156766925
IFI16	chr1	158999968	159055155
APCS	chr1	159587826	159588865
DUSP23	chr1	159780932	159782543
TAGLN2	chr1	159918107	159925507
IGSF8	chr1	160091340	160098943
PEA15	chr1	160205380	160215376
DCAF8	chr1	160215715	160262549
PEX19	chr1	160276807	160286348
COPA	chr1	160288594	160343273
NCSTN	chr1	160343316	160358952
F11R	chr1	160995211	161021343
TSTD1	chr1	161037631	161038977
PFDN2	chr1	161100556	161118055
NIT1	chr1	161118086	161125445
UFC1	chr1	161152776	161158856
B4GALT3	chr1	161171310	161177968
ADAMTS4	chr1	161184302	161199054
NDUFS2	chr1	161197104	161214395
FCER1G	chr1	161215234	161220699
APOA2	chr1	161222292	161223631
SDHC	chr1	161314381	161371964
HSPA6	chr1	161524540	161526894
ATF6	chr1	161766320	161964070
UHMK1	chr1	162497251	162529631
UAP1	chr1	162561506	162599842
HSD17B7	chr1	162790702	162812817
RGS5	chr1	163111121	163321791
PBX1	chr1	164555584	164899296
MGST3	chr1	165631213	165661796
ALDH9A1	chr1	165662216	165698863
TMCO1	chr1	165724293	165827755
CREG1	chr1	167529117	167553805
MPZL1	chr1	167721192	167791919
MPC2	chr1	167916675	167937072
DCAF6	chr1	167935783	168075843
TIPRL	chr1	168178962	168202109
SFT2D2	chr1	168225938	168253021
ATP1B1	chr1	169105697	169132722
F5	chr1	169511951	169586588
SELE	chr1	169722640	169764705
KIFAP3	chr1	169921326	170085208
FMO3	chr1	171090901	171117819
PRRC2C	chr1	171485551	171593511
PIGC	chr1	172370189	172444086
SUCO	chr1	172532349	172611833
PRDX6	chr1	173477330	173488815
KLHL20	chr1	173714941	173786692
SERPINC1	chr1	173903804	173917378
RC3H1	chr1	173931084	174022357
RABGAP1L	chr1	174159410	174995308
CACYBP	chr1	174999163	175012027
MRPS14	chr1	175010789	175023425
SEC16B	chr1	177923956	177984303
RASAL2	chr1	178094104	178484147
RALGPS2	chr1	178725147	178921841
FAM20B	chr1	179025804	179076567
TOR3A	chr1	179082070	179098023
ABL2	chr1	179099330	179229684
TOR1AIP2	chr1	179839967	179877803
TOR1AIP1	chr1	179882042	179925000
CEP350	chr1	179954773	180114875
QSOX1	chr1	180154869	180204030
ACBD6	chr1	180269653	180502954
IER5	chr1	181088700	181092900
GLUL	chr1	182378098	182392206
RGS16	chr1	182598623	182604389
DHX9	chr1	182839347	182887982
LAMC1	chr1	183023420	183145592
SMG7	chr1	183472216	183598246
ARPC5	chr1	183620846	183635783
TSEN15	chr1	184051651	184123978
C1orf21	chr1	184387029	184629019
EDEM3	chr1	184690237	184754907
IVNS1ABP	chr1	185296388	185317273
TPR	chr1	186311652	186375693
RGS1	chr1	192575763	192580024
RGS2	chr1	192809039	192812275
UCHL5	chr1	193012250	193060080
CFH	chr1	196652043	196747504
CFHR3	chr1	196774813	196795407
CFHR1	chr1	196819757	196832189
CFHR4	chr1	196888014	196918713
CFHR2	chr1	196943738	196959622
F13B	chr1	197038741	197067260
C1orf53	chr1	197902630	197907367
NEK7	chr1	198156994	198322420
PTPRC	chr1	198638457	198757476
ZNF281	chr1	200404940	200410056
TMEM9	chr1	201134772	201171574
LAD1	chr1	201380833	201399915
CSRP1	chr1	201483530	201509456
TIMM17A	chr1	201955503	201970664
RNPEP	chr1	201982372	202006147
ELF3	chr1	202007945	202017183
ARL8A	chr1	202133404	202144743
KDM5B	chr1	202724495	202808487
ADIPOR1	chr1	202940826	202958572
CYB5R1	chr1	202961873	202967275
TMEM183A	chr1	203007374	203024848
BTG2	chr1	203305491	203309602
ATP2B4	chr1	203626787	203744081
ZC3H11A	chr1	203795654	203854999
SNRPE	chr1	203861599	203871152
GOLT1A	chr1	204198163	204213988
PPP1R15B	chr1	204403381	204411817
MDM4	chr1	204516379	204558120
ELK4	chr1	205597556	205632011
NUCKS1	chr1	205712822	205750182
MAPKAPK2	chr1	206684905	206734281
PIGR	chr1	206928522	206946466
C4BPB	chr1	207088860	207099993
C4BPA	chr1	207104233	207144972
CD55	chr1	207321532	207386804
CD46	chr1	207752054	207795513
CD34	chr1	207880972	207911402
PLXNA2	chr1	208022242	208244384
G0S2	chr1	209675412	209676390
RCOR3	chr1	211258377	211316385
SLC30A1	chr1	211571568	211579161
LPGAT1	chr1	211743457	211830763
PPP2R5A	chr1	212285410	212361853
NENF	chr1	212432920	212446379
ATF3	chr1	212565334	212620777
NSL1	chr1	212726153	212791782
PROX1	chr1	213983181	214041510
SMYD2	chr1	214281102	214337131
CENPF	chr1	214603195	214664571
GPATCH2	chr1	217426992	217631090
RRP15	chr1	218285293	218337983
LYPLAL1	chr1	219173869	219212865
SLC30A10	chr1	219685427	219958647
IARS2	chr1	220094132	220148041
RAB3GAP2	chr1	220148293	220272453
C1orf115	chr1	220690363	220699153
MIA3	chr1	222618097	222668007
AIDA	chr1	222668013	222713210
BROX	chr1	222712553	222735196
CAPN2	chr1	223701593	223776018
TP53BP2	chr1	223779893	223845954
CNIH4	chr1	224356858	224379459
WDR26	chr1	224385143	224437033
LBR	chr1	225401502	225428925
ENAH	chr1	225486835	225653142
SRP9	chr1	225777813	225790468
EPHX1	chr1	225810092	225845563
TMEM63A	chr1	225845536	225882380
PYCR2	chr1	225919877	225924340
SDE2	chr1	225982702	225999343
ACBD3	chr1	226144679	226186741
PARP1	chr1	226360691	226408093
CDC42BPA	chr1	226989865	227318474
SNAP47	chr1	227728539	227781231
ARF1	chr1	228082660	228099212
C1orf35	chr1	228100726	228105411
MRPL55	chr1	228106679	228109312
GUK1	chr1	228139962	228148984
RNF187	chr1	228487382	228496188
RHOU	chr1	228735479	228746664
RAB4A	chr1	229271062	229305894
GALNT2	chr1	230057990	230282122
AGT	chr1	230702523	230714122
FAM89A	chr1	231018958	231040254
C1orf131	chr1	231223763	231241187
GNPAT	chr1	231241207	231277973
EGLN1	chr1	231363751	231422287
TSNAX	chr1	231528541	231566524
NTPCR	chr1	232950605	232983882
COA6	chr1	234373456	234385080
TARBP1	chr1	234391313	234479179
IRF2BP2	chr1	234604269	234609525
TOMM20	chr1	235109341	235128837
ARID4B	chr1	235131634	235328219
NID1	chr1	235975830	236065109
LGALS8	chr1	236518000	236552981
CHRM3	chr1	239386565	239915452
FH	chr1	241497603	241519755
SDCCAG8	chr1	243256034	243500091
ZBTB18	chr1	244048939	244057476
COX20	chr1	244835616	244845057
HNRNPU	chr1	244840638	244864560
TFB2M	chr1	246540561	246566261
SCCPDH	chr1	246724409	246768137
ACP1	chr2	264140	278283
TMEM18	chr2	663877	677406
ADI1	chr2	3497366	3519531
RNASEH1	chr2	3541430	3558333
RPS7	chr2	3575260	3580920
COLEC11	chr2	3594832	3644644
ID2	chr2	8678845	8684461
KIDINS220	chr2	8721081	8837630
ITGB1BP1	chr2	9403475	9423528
IAH1	chr2	9473658	9496543
ADAM17	chr2	9488486	9556732
YWHAQ	chr2	9583967	9630997
KLF11	chr2	10042849	10054836
HPCAL1	chr2	10302889	10427617
ODC1	chr2	10439968	10448327
PDIA6	chr2	10783391	10837977
ROCK2	chr2	11179759	11348330
LPIN1	chr2	11677595	11827409
DDX1	chr2	15591178	15631111
LAPTM4A	chr2	20032650	20051628
SDC1	chr2	20200797	20225433
PUM2	chr2	20248691	20352234
RHOB	chr2	20447074	20449440
APOB	chr2	21001429	21044073
UBXN2A	chr2	23927285	24004909
TP53I3	chr2	24077433	24085861
ITSN2	chr2	24202864	24360714
PTRHD1	chr2	24789734	24793382
RAB10	chr2	26034084	26137454
HADHA	chr2	26190635	26244672
HADHB	chr2	26243170	26290465
OST4	chr2	27070472	27071654
KHK	chr2	27086747	27100762
ATRAID	chr2	27212027	27217178
EIF2B4	chr2	27364352	27370457
SNX17	chr2	27370496	27377535
PPM1G	chr2	27381195	27409591
NRBP1	chr2	27427790	27442259
MRPL33	chr2	27771717	27988087
RBKS	chr2	27781379	27890681
FOSL2	chr2	28392448	28417317
PPP1CB	chr2	28751640	28802940
WDR43	chr2	28894667	28948219
YPEL5	chr2	30146941	30160533
LBH	chr2	30231534	30323730
DPY30	chr2	31867809	32039805
YIPF4	chr2	32277904	32316594
BIRC6	chr2	32357028	32618899
RASGRP3	chr2	33436324	33564750
CRIM1	chr2	36355778	36551135
FEZ2	chr2	36531805	36646087
EIF2AK2	chr2	37099210	37157065
CEBPZ	chr2	37201612	37231596
CDC42EP3	chr2	37641882	37738468
GALM	chr2	38666081	38741237
SRSF7	chr2	38743599	38751494
MORN2	chr2	38875962	38929072
EML4	chr2	42169353	42332548
COX7A2L	chr2	42333546	42425088
HAAO	chr2	42767089	42792593
ZFP36L2	chr2	43222402	43226606
ABCG5	chr2	43812472	43838865
LRPPRC	chr2	43886224	43995989
PPM1B	chr2	44167969	44244384
PREPL	chr2	44316281	44361862
EPAS1	chr2	46293667	46386697
PIGF	chr2	46580937	46617055
CRIPT	chr2	46616416	46630176
MCFD2	chr2	46901870	46941855
CALM2	chr2	47160083	47176921
FBXO11	chr2	47789316	47906498
FOXN2	chr2	48314637	48379295
ERLEC1	chr2	53787044	53818819
PSME4	chr2	53864069	53970993
ACYP2	chr2	53970838	54305300
SPTBN1	chr2	54456317	54671446
RTN4	chr2	54972187	55112621
RPS27A	chr2	55231903	55235853
CCDC88A	chr2	55287842	55419895
REL	chr2	60881521	60931612
USP34	chr2	61187463	61471087
XPO1	chr2	61477849	61538626
CCT4	chr2	61868085	61888671
COMMD1	chr2	61888724	62147247
B3GNT2	chr2	62196115	62224731
MDH1	chr2	63588609	63607197
UGP2	chr2	63840940	63891562
PELI1	chr2	64092652	64144420
SERTAD2	chr2	64631621	64751005
RAB1A	chr2	65070696	65130331
ACTR2	chr2	65227788	65271253
C1D	chr2	68041130	68110948
NFU1	chr2	69396113	69437628
AAK1	chr2	69457997	69674349
ANXA4	chr2	69644425	69827112
GMCL1	chr2	69829660	69881384
SNRNP27	chr2	69893956	69905575
MXD1	chr2	69897688	69942945
PCBP1	chr2	70087477	70089203
TIA1	chr2	70209444	70248660
PCYOX1	chr2	70257386	70281185
SNRPG	chr2	70281362	70293740
FAM136A	chr2	70295975	70302090
TEX261	chr2	70985942	70994873
NAGK	chr2	71064344	71079808
ZNF638	chr2	71276561	71435069
SPR	chr2	72887382	72892158
SFXN5	chr2	72942036	73075619
PRADC1	chr2	73228010	73233239
CCT7	chr2	73233420	73253021
NAT8	chr2	73640723	73642422
TPRKB	chr2	73729104	73737400
STAMBP	chr2	73828916	73873659
DGUOK	chr2	73926826	73958961
BOLA3	chr2	74135400	74147912
MOB1A	chr2	74152528	74178898
INO80B	chr2	74455087	74457944
AUP1	chr2	74526645	74529760
HTRA2	chr2	74529725	74533332
POLE4	chr2	74958643	74970128
MRPL19	chr2	75646783	75690851
SUCLG1	chr2	84423528	84460045
TMSB10	chr2	84905656	84906671
TCF7L1	chr2	85133392	85310387
TGOLN2	chr2	85318020	85328296
RETSAT	chr2	85341955	85354531
MAT2A	chr2	85539168	85545281
GGCX	chr2	85544720	85561547
VAMP8	chr2	85561562	85582031
VAMP5	chr2	85584431	85593406
RNF181	chr2	85595725	85597708
TMEM150A	chr2	85598547	85603196
GNLY	chr2	85685175	85698852
PTCD3	chr2	86106223	86142157
MRPL35	chr2	86199355	86213790
CHMP3	chr2	86503430	86563479
RMND5A	chr2	86720291	86778041
PLGLB1	chr2	87002559	87021852
KRCC1	chr2	88027205	88064252
FABP1	chr2	88122982	88128062
RPIA	chr2	88691673	88750929
MRPS5	chr2	95085369	95149434
DUSP2	chr2	96143169	96145440
STARD7	chr2	96184859	96208825
TMEM127	chr2	96248514	96265997
CIAO1	chr2	96266159	96274173
SNRNP200	chr2	96274338	96321271
ARID5A	chr2	96536743	96552634
ANKRD36	chr2	97113153	97264521
COX5B	chr2	97646062	97648383
ACTR1B	chr2	97655939	97664044
COA5	chr2	98599314	98608515
UNC50	chr2	98608579	98618515
MITD1	chr2	99161427	99181058
TXNDC9	chr2	99318982	99340702
EIF5B	chr2	99337371	99401326
PDCL3	chr2	100562993	100576739
RPL31	chr2	101002229	101024032
RNF149	chr2	101271219	101308701
MAP4K4	chr2	101696850	101894689
MRPS9	chr2	105038069	105099960
C2orf49	chr2	105337532	105349211
GCC2	chr2	108449191	108509415
LIMS1	chr2	108534355	108687246
MALL	chr2	110083870	110116022
BCL2L11	chr2	111119378	111168445
ZC3H8	chr2	112211529	112255136
CHCHD5	chr2	112584240	112589275
SLC20A1	chr2	112645939	112663825
ACTR3	chr2	113890063	113962596
DDX18	chr2	117814691	117832377
INSIG2	chr2	118088452	118110997
DBI	chr2	119366921	119372560
RALB	chr2	120240064	120294710
INHBB	chr2	120346136	120351803
NIFK	chr2	121726945	121736911
TSN	chr2	121737103	121767853
GYPC	chr2	126656133	126696667
MAP3K2	chr2	127298730	127388465
PROC	chr2	127418427	127429242
IWS1	chr2	127436207	127526886
LIMS2	chr2	127638381	127681786
WDR33	chr2	127701027	127811187
MZT2B	chr2	130181737	130190729
CCDC115	chr2	130337933	130342699
IMP4	chr2	130342877	130347967
PLEKHB2	chr2	131104847	131353709
MZT2A	chr2	131464900	131492743
UBXN4	chr2	135741734	135785056
CXCR4	chr2	136114349	136118149
HNMT	chr2	137964020	138016364
ZEB2	chr2	144364364	144521057
MMADHC	chr2	149569637	149587778
RND3	chr2	150468195	150539011
NMI	chr2	151270470	151289894
ARL5A	chr2	151788984	151828492
PRPF40A	chr2	152651593	152717997
NR4A2	chr2	156324437	156342348
PKP4	chr2	158456952	158682879
TANC1	chr2	158968640	159232659
BAZ2B	chr2	159318979	159616569
CD302	chr2	159768628	159798255
RBMS1	chr2	160272151	160493807
TANK	chr2	161136908	161236230
PSMD14	chr2	161308425	161411717
GRB14	chr2	164492417	164621482
COBLL1	chr2	164653624	164843679
NOSTRIN	chr2	168786539	168865514
PPIG	chr2	169584344	169641406
KLHL23	chr2	169694488	169776989
SSB	chr2	169791933	169812064
METTL5	chr2	169810081	169824931
GORASP2	chr2	170928464	170967130
TLK1	chr2	170990823	171231314
DYNC1I2	chr2	171687409	171750158
ITGA6	chr2	172427354	172506459
RAPGEF4	chr2	172735274	173052893
SP3	chr2	173880850	173965702
OLA1	chr2	174072447	174248599
CIR1	chr2	174348022	174395712
HNRNPA3	chr2	177212563	177223958
NFE2L2	chr2	177227595	177392697
PLEKHA3	chr2	178480457	178516463
UBE2E3	chr2	180967248	181076585
DNAJC10	chr2	182716041	182794464
FRZB	chr2	182833275	182866637
NCKAP1	chr2	182909115	183038858
ZC3H15	chr2	186486253	186509361
ITGAV	chr2	186590056	186680901
CALCRL	chr2	187341964	187448460
TFPI	chr2	187464230	187565760
COL3A1	chr2	188974373	189012746
SLC40A1	chr2	189560590	189583758
ASNSD1	chr2	189661385	189670831
ORMDL1	chr2	189770267	189784364
HIBCH	chr2	190189735	190344193
GLS	chr2	190880821	190965552
STAT1	chr2	190908460	191020960
MYO1B	chr2	191245185	191425389
SF3B1	chr2	197388515	197435079
COQ10B	chr2	197453423	197475308
HSPD1	chr2	197486584	197516737
HSPE1	chr2	197500140	197503449
MOB4	chr2	197515571	197553699
SPATS2L	chr2	200305881	200482264
AOX1	chr2	200586014	200677064
BZW1	chr2	200810594	200827338
CLK1	chr2	200853009	200864744
PPIL3	chr2	200870907	200889303
NDUFB3	chr2	201071433	201085750
